FORMULA,Co,Cr,Fe,Ni,Mn,Nb,Ti,Al,C,Mo,Si,Cu,V,Sn,Li,Mg,Zn,Ta,Zr,Hf,W,Re,Ca,Y,Pd,Sc,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Calculated Young modulus (GPa)
Co1 Cr0.25 Ni1,45.11617225,9.95138756,,44.93244019,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.7,T,25,330,553,101,213
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,25,631,732,39,226
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,25,494,732,51,226
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,25,448,672,65,226
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,25,273,567,85,226
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,25,172,504,105,226
Co0.25 Cr1 Ni1,11.74691891,41.45675907,,46.79632202,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.1,T,25,518,744,36,238
Co0.25 Cr1 Ni1,11.74691891,41.45675907,,46.79632202,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.1,T,25,462,703,46,238
Co0.25 Cr1 Ni1,11.74691891,41.45675907,,46.79632202,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.1,T,25,395,644,58,238
Co0.25 Cr1 Ni1,11.74691891,41.45675907,,46.79632202,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.1,T,25,356,588,64,238
Al1 Cr1 Cu1 Fe1 Ni1,,20.22702694,21.7243311,22.83223503,,,,10.4963005,,,,24.72010643,,,,,,,,,,,,,,,FCC+BCC+B2,POWDER,other,6.8,C,20,1511,,5,
Al1 Cr1 Cu1 Fe1 Ni1,,20.22702694,21.7243311,22.83223503,,,,10.4963005,,,,24.72010643,,,,,,,,,,,,,,,FCC+BCC+B2,POWDER,other,6.8,C,400,1366,,17,
Al1 Cr1 Cu1 Fe1 Ni1,,20.22702694,21.7243311,22.83223503,,,,10.4963005,,,,24.72010643,,,,,,,,,,,,,,,FCC+BCC+B2,POWDER,other,6.8,C,600,410,,35,
Al1 Cr1 Cu1 Fe1 Ni1,,20.22702694,21.7243311,22.83223503,,,,10.4963005,,,,24.72010643,,,,,,,,,,,,,,,FCC+BCC+B2,POWDER,other,6.8,C,800,48,,35,
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8,T,25,210,,57,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1150,,6,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1300,,2,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1050,,8,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,560,,49,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,520,,47,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,320,,59,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,280,,62,220
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,21.28890093,,20.17339474,42.40440712,,,,,,6.932177368,,,9.201119841,,,,,,,,,,,,,,FCC,CAST,FCC,8.4,T,-196,419,,,202
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,21.28890093,,20.17339474,42.40440712,,,,,,6.932177368,,,9.201119841,,,,,,,,,,,,,,FCC,CAST,FCC,8.4,T,-70,350,,,202
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,21.28890093,,20.17339474,42.40440712,,,,,,6.932177368,,,9.201119841,,,,,,,,,,,,,,FCC,CAST,FCC,8.4,T,20,252,,,202
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,21.28890093,,20.17339474,42.40440712,,,,,,6.932177368,,,9.201119841,,,,,,,,,,,,,,FCC,CAST,FCC,8.4,T,600,214,,,202
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,21.28890093,,20.17339474,42.40440712,,,,,,6.932177368,,,9.201119841,,,,,,,,,,,,,,FCC,CAST,FCC,8.4,T,700,212,,,202
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,21.28890093,,20.17339474,42.40440712,,,,,,6.932177368,,,9.201119841,,,,,,,,,,,,,,FCC,CAST,FCC,8.4,T,800,187,,,202
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,B2+BCC,CAST,other,6.7,C,25,1631,,16,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,B2+BCC,CAST,other,6.7,C,25,1209,,23,
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,17.71292592,11.15579253,52.7823755,10.09630201,,,,,,8.252604039,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.2,T,25,443,840,61.6,
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,17.93954713,10.98755256,51.98636701,6.938973079,,,,,,12.14756022,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.2,T,25,711,1096,38.3,
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,17.71292592,11.15579253,52.7823755,10.09630201,,,,,,8.252604039,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.2,T,25,301,718,77.5,
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,17.93954713,10.98755256,51.98636701,6.938973079,,,,,,12.14756022,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.2,T,25,684,1078,48.1,
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,17.71292592,11.15579253,52.7823755,10.09630201,,,,,,8.252604039,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.2,T,25,261,673,86.6,
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,17.93954713,10.98755256,51.98636701,6.938973079,,,,,,12.14756022,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.2,T,25,506,933,59.3,
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,17.71292592,11.15579253,52.7823755,10.09630201,,,,,,8.252604039,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.2,T,25,231,638,87.2,
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,17.93954713,10.98755256,51.98636701,6.938973079,,,,,,12.14756022,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8.2,T,25,296,693,63.2,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,FCC+BCC,CAST,other,8.1,T,25,615,950,14,
Mo1 Nb1 Re0.5 W1,,,,,,19.94549157,,,,20.59899163,,,,,,,,,,,39.46762502,19.98789179,,,,,BCC,CAST,BCC,13.7,C,25,896,,10.4,298
C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,,,,,,18.41942952,,,0.476257223,19.02292922,,,,,,,,7.174905673,,,36.44789274,18.45858563,,,,,BCC+Sec.,CAST,other,13.5,C,25,1074,,12.1,
C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,,,,,,17.11029312,,,0.884815752,17.67089989,,,,,,,,13.32991763,,,33.85740735,17.14666626,,,,,BCC+Sec.,CAST,other,13.4,C,25,1144,,12.7,
C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,,,,,,16.52311397,,,1.068064075,17.06448222,,,,,,,,16.09058848,,,32.69551237,16.55823888,,,,,BCC+Sec.,CAST,other,13.3,C,25,1202,,14.2,
C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,,,,,,15.9748985,,,1.239152515,16.49830486,,,,,,,,18.66806838,,,31.61071773,16.00885802,,,,,BCC+Sec.,CAST,other,13.3,C,25,1241,,13.8,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.4,T,23,520,696,49,185
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.4,T,600,470,561,11,185
