FORMULA,Co,Cr,Fe,Ni,Mn,Nb,Ti,Al,C,Mo,Si,Cu,V,Sn,Li,Mg,Zn,Ta,Zr,Hf,W,Re,Ca,Y,Pd,Sc,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Calculated Young modulus (GPa)
Co1 Cr1 Fe1 Ni1 W0.2,22.47335405,19.82801686,21.29578432,22.38183309,,,,,,,,,,,,,,,,,14.02101169,,,,,,FCC,CAST,FCC,8.9,C,25,335,,52,238
Co1 Cr1 Fe1 Ni1 W0.5,18.56818332,16.38252354,17.59523862,18.49256586,,,,,,,,,,,,,,,,,28.96148866,,,,,,FCC+Sec.,CAST,other,9.8,C,25,556,,35.6,
Cr1 Fe1 Mo1 Nb1 V1,,14.95689494,16.06407797,,,26.72484963,,,,27.6004706,,,14.65370686,,,,,,,,,,,,,,BCC+Laves,CAST,other,8.1,C,25,2663,,2.7,
Cr1 Fe1 Mo1 Nb1 Ti1,,15.09037508,16.20743897,,,26.96335079,13.89204908,,,27.84678608,,,,,,,,,,,,,,,,,BCC+Laves,CAST,other,7.6,C,25,1647,,0.9,
Fe1 Mo1 Nb1 Ti1 V1,,,16.25716864,,,27.04608308,13.93467439,,,27.93222905,,,14.82984484,,,,,,,,,,,,,,BCC+B2,CAST,other,7.4,C,25,1707,,1.7,
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,,19.6141302,21.06606472,44.28079636,,,,3.053476004,,,,11.98553271,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.8,T,25,62,169,98,200
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,,19.6141302,21.06606472,44.28079636,,,,3.053476004,,,,11.98553271,,,,,,,,,,,,,,,FCC+L12,WROUGHT,other,7.8,T,25,350,642,73,
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,,19.6141302,21.06606472,44.28079636,,,,3.053476004,,,,11.98553271,,,,,,,,,,,,,,,FCC+L12+Sec.,WROUGHT,other,7.8,T,25,535,904,39,
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,,19.6141302,21.06606472,44.28079636,,,,3.053476004,,,,11.98553271,,,,,,,,,,,,,,,FCC+L12+Sec.,WROUGHT,other,7.8,T,25,255,584,88,
Co1 Cr1 Fe1 Ni1 Ti0.3,24.57311955,21.68061908,23.28552528,24.47304746,,,5.987688631,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.8,T,25,540,772,60,214
Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,12.27916518,21.70010461,23.30645323,36.72420194,,,5.990075049,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.8,T,25,586,875,46,213
Cr0.5 Fe0.5 Ni1 Ti0.15,,21.70233706,23.30885094,48.99512536,,,5.993686638,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.8,T,25,672,982,37,212
Nb1 Ta1 Ti1,,,,,,28.87781649,14.8784195,,,,,,,,,,,56.24376401,,,,,,,,,BCC,WROUGHT,BCC,10,C,20,573,,,136
Nb1 Ta1 Ti1,,,,,,28.87781649,14.8784195,,,,,,,,,,,56.24376401,,,,,,,,,BCC,WROUGHT,BCC,10,C,100,486,,,136
Nb1 Ta1 Ti1,,,,,,28.87781649,14.8784195,,,,,,,,,,,56.24376401,,,,,,,,,BCC,WROUGHT,BCC,10,C,200,378,,,136
Nb1 Ta1 Ti1,,,,,,28.87781649,14.8784195,,,,,,,,,,,56.24376401,,,,,,,,,BCC,WROUGHT,BCC,10,C,300,314,,,136
Nb1 Ta1 Ti1,,,,,,28.87781649,14.8784195,,,,,,,,,,,56.24376401,,,,,,,,,BCC,WROUGHT,BCC,10,C,400,232,,,136
Nb1 Ta1 Ti1,,,,,,28.87781649,14.8784195,,,,,,,,,,,56.24376401,,,,,,,,,BCC,WROUGHT,BCC,10,C,600,222,,,136
Nb1 Ta1 Ti1,,,,,,28.87781649,14.8784195,,,,,,,,,,,56.24376401,,,,,,,,,BCC,WROUGHT,BCC,10,C,800,210,,,136
Nb1 Ta1 Ti1,,,,,,28.87781649,14.8784195,,,,,,,,,,,56.24376401,,,,,,,,,BCC,WROUGHT,BCC,10,C,1000,160,,,136
Al1 Nb1 Ta1 Ti1,,,,,,26.6433039,13.72715463,7.737816996,,,,,,,,,,51.89172448,,,,,,,,,BCC,CAST,BCC,8.2,C,20,1152,,,120
Al1 Nb1 Ta1 Ti1,,,,,,26.6433039,13.72715463,7.737816996,,,,,,,,,,51.89172448,,,,,,,,,BCC,CAST,BCC,8.2,C,200,740,,,120
Al1 Nb1 Ta1 Ti1,,,,,,26.6433039,13.72715463,7.737816996,,,,,,,,,,51.89172448,,,,,,,,,BCC,CAST,BCC,8.2,C,100,740,,,120
Mo1 Nb1 Ta1 Ti1,,,,,,22.24382349,11.46045572,,,22.97262678,,,,,,,,43.32309401,,,,,,,,,BCC,ANNEAL,BCC,10,C,20,1210,,,179
Mo1 Nb1 Ta1 Ti1,,,,,,22.24382349,11.46045572,,,22.97262678,,,,,,,,43.32309401,,,,,,,,,BCC,ANNEAL,BCC,10,C,60,1071,,,179
Mo1 Nb1 Ta1 Ti1,,,,,,22.24382349,11.46045572,,,22.97262678,,,,,,,,43.32309401,,,,,,,,,BCC,ANNEAL,BCC,10,C,100,1029,,,179
Mo1 Nb1 Ta1 Ti1,,,,,,22.24382349,11.46045572,,,22.97262678,,,,,,,,43.32309401,,,,,,,,,BCC,ANNEAL,BCC,10,C,200,868,,,179
Mo1 Nb1 Ta1 Ti1,,,,,,22.24382349,11.46045572,,,22.97262678,,,,,,,,43.32309401,,,,,,,,,BCC,ANNEAL,BCC,10,C,300,732,,,179
Mo1 Nb1 Ta1 Ti1,,,,,,22.24382349,11.46045572,,,22.97262678,,,,,,,,43.32309401,,,,,,,,,BCC,ANNEAL,BCC,10,C,400,685,,,179
Mo1 Nb1 Ta1 Ti1,,,,,,22.24382349,11.46045572,,,22.97262678,,,,,,,,43.32309401,,,,,,,,,BCC,ANNEAL,BCC,10,C,600,593,,,179
Mo1 Nb1 Ta1 Ti1,,,,,,22.24382349,11.46045572,,,22.97262678,,,,,,,,43.32309401,,,,,,,,,BCC,ANNEAL,BCC,10,C,800,564,,,179
Mo1 Nb1 Ta1 Ti1,,,,,,22.24382349,11.46045572,,,22.97262678,,,,,,,,43.32309401,,,,,,,,,BCC,ANNEAL,BCC,10,C,1000,539,,,179
Nb1 Ta1 Ti1 W1,,,,,,18.37681308,9.468095838,,,,,,,,,,,35.79152664,,,36.36356444,,,,,,BCC,ANNEAL,BCC,12.1,C,20,1054,,,198
Nb1 Ta1 Ti1 W1,,,,,,18.37681308,9.468095838,,,,,,,,,,,35.79152664,,,36.36356444,,,,,,BCC,ANNEAL,BCC,12.1,C,100,968,,,198
Nb1 Ta1 Ti1 W1,,,,,,18.37681308,9.468095838,,,,,,,,,,,35.79152664,,,36.36356444,,,,,,BCC,ANNEAL,BCC,12.1,C,200,869,,,198
Nb1 Ta1 Ti1 W1,,,,,,18.37681308,9.468095838,,,,,,,,,,,35.79152664,,,36.36356444,,,,,,BCC,ANNEAL,BCC,12.1,C,300,754,,,198
Nb1 Ta1 Ti1 W1,,,,,,18.37681308,9.468095838,,,,,,,,,,,35.79152664,,,36.36356444,,,,,,BCC,ANNEAL,BCC,12.1,C,400,627,,,198
Nb1 Ta1 Ti1 W1,,,,,,18.37681308,9.468095838,,,,,,,,,,,35.79152664,,,36.36356444,,,,,,BCC,ANNEAL,BCC,12.1,C,600,596,,,198
Nb1 Ta1 Ti1 W1,,,,,,18.37681308,9.468095838,,,,,,,,,,,35.79152664,,,36.36356444,,,,,,BCC,ANNEAL,BCC,12.1,C,800,564,,,198
Nb1 Ta1 Ti1 W1,,,,,,18.37681308,9.468095838,,,,,,,,,,,35.79152664,,,36.36356444,,,,,,BCC,ANNEAL,BCC,12.1,C,1000,459,,,198
Hf1 Nb1 Ta1 Ti1,,,,,,18.57336204,9.569361729,,,,,,,,,,,36.17433443,,35.6829418,,,,,,,BCC,ANNEAL,BCC,10.9,C,20,860,,,119
Hf1 Nb1 Ta1 Ti1,,,,,,18.57336204,9.569361729,,,,,,,,,,,36.17433443,,35.6829418,,,,,,,BCC,ANNEAL,BCC,10.9,C,20,834,,,119
Hf1 Nb1 Ta1 Ti1,,,,,,18.57336204,9.569361729,,,,,,,,,,,36.17433443,,35.6829418,,,,,,,BCC,ANNEAL,BCC,10.9,C,200,610,,,119
Hf1 Nb1 Ta1 Ti1,,,,,,18.57336204,9.569361729,,,,,,,,,,,36.17433443,,35.6829418,,,,,,,BCC,ANNEAL,BCC,10.9,C,600,473,,,119
Cr1 Mo1 Nb1 Ti1,,18.00920618,,,,32.17869278,16.57909594,,,33.2330051,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,7.6,C,20,1630,,,196
Cr1 Mo1 Nb1 Ti1,,18.00920618,,,,32.17869278,16.57909594,,,33.2330051,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,7.6,C,200,1268,,,196
Cr1 Mo1 Nb1 Ti1,,18.00920618,,,,32.17869278,16.57909594,,,33.2330051,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,7.6,C,400,1115,,,196
Cr1 Mo1 Nb1 Ti1,,18.00920618,,,,32.17869278,16.57909594,,,33.2330051,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,7.6,C,600,1062,,,196
Cr1 Mo1 Nb1 Ti1,,18.00920618,,,,32.17869278,16.57909594,,,33.2330051,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,7.6,C,800,1058,,,196
Hf0.25 Ti1 V0.5 Zr0.5,,,,,,,29.26347644,,,,,,15.5716884,,,,,,27.88488285,27.27995231,,,,,,,BCC,CAST,BCC,6.5,C,25,1160,,50,100
Hf0.25 Ti1 V0.5 Zr0.5,,,,,,,29.26347644,,,,,,15.5716884,,,,,,27.88488285,27.27995231,,,,,,,BCC,CAST,BCC,6.5,C,600,405,,50,100
Hf0.25 Ti1 V0.5 Zr0.5,,,,,,,29.26347644,,,,,,15.5716884,,,,,,27.88488285,27.27995231,,,,,,,BCC,CAST,BCC,6.5,C,800,85,,50,100
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,,,,,,6.629106534,27.32356941,,,,,,14.53942458,,,,,,26.03636426,25.47153521,,,,,,,BCC,CAST,BCC,6.6,C,25,1115,,50,100
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,,,,,,12.43395307,25.62486951,,,,,,13.63551197,,,,,,24.4176896,23.88797585,,,,,,,BCC,CAST,BCC,6.7,C,25,1065,,50,100
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,,,,,,12.43395307,25.62486951,,,,,,13.63551197,,,,,,24.4176896,23.88797585,,,,,,,BCC,CAST,BCC,6.7,C,600,718,,50,100
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,,,,,,12.43395307,25.62486951,,,,,,13.63551197,,,,,,24.4176896,23.88797585,,,,,,,BCC,CAST,BCC,6.7,C,800,135,,50,100
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,,,,,,17.55927368,24.12502252,,,,,,12.83741301,,,,,,22.98849995,22.48979083,,,,,,,BCC,CAST,BCC,6.8,C,25,1025,,50,100
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,,,,,,22.11779046,22.79104204,,,,,,12.12757498,,,,,,21.71736289,21.24622962,,,,,,,BCC,CAST,BCC,6.9,C,25,980,,50,101
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,,,,,,22.11779046,22.79104204,,,,,,12.12757498,,,,,,21.71736289,21.24622962,,,,,,,BCC,CAST,BCC,6.9,C,600,859,,50,101
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,,,,,,22.11779046,22.79104204,,,,,,12.12757498,,,,,,21.71736289,21.24622962,,,,,,,BCC,CAST,BCC,6.9,C,800,195,,50,101
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,WROUGHT,other,8.1,T,25,1190,1300,4.3,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,WROUGHT,other,8.1,T,25,1170,1270,10.7,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,WROUGHT,other,8.1,T,25,1030,1190,11.4,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,WROUGHT,other,8.1,T,25,970,1110,12.1,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,WROUGHT,other,8.1,T,25,850,960,14.3,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,WROUGHT,other,8.1,T,25,470,640,34.8,
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,19.09560299,16.84786068,18.0950223,39.95344045,,6.008073572,,,,,,,,,,,,,,,,,,,,,FCC+Laves,CAST,other,8.3,T,25,170,537,32,
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,18.01334781,15.89299768,17.06947565,37.68905434,,11.33512452,,,,,,,,,,,,,,,,,,,,,FCC+Laves,CAST,other,8.4,T,25,640,840,7,
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,19.09560299,16.84786068,18.0950223,39.95344045,,6.008073572,,,,,,,,,,,,,,,,,,,,,FCC+Laves+Sec.,ANNEAL,other,8.3,T,25,560,860,19,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+FCC,POWDER,other,6.7,C,25,1221.1,,30,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+FCC,POWDER,other,6.7,C,25,1186.7,,33,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC+FCC,POWDER,other,6.7,C,25,1112.9,,30,
Cr1 Mo1 Nb1 Ti1 W1,,11.00307052,,,,19.66019058,10.12931719,,,20.30434295,,,,,,,,,,,38.90307877,,,,,,BCC+Laves,POWDER,other,9.9,C,25,2500,,10,
Cr1 Mo1 Nb1 Ti1 W1,,11.00307052,,,,19.66019058,10.12931719,,,20.30434295,,,,,,,,,,,38.90307877,,,,,,BCC+Laves,POWDER,other,9.9,C,25,1260,,4.8,
Cr1 Mo1 Nb1 Ti1 W1,,11.00307052,,,,19.66019058,10.12931719,,,20.30434295,,,,,,,,,,,38.90307877,,,,,,BCC+Laves,POWDER,other,9.9,C,25,1630,,4.85,
Cr1 Mo1 Nb1 Ti1 W1,,11.00307052,,,,19.66019058,10.12931719,,,20.30434295,,,,,,,,,,,38.90307877,,,,,,BCC+Laves,POWDER,other,9.9,C,25,2030,,4.3,
Cr1 Mo1 Nb1 Ti1 W1,,11.00307052,,,,19.66019058,10.12931719,,,20.30434295,,,,,,,,,,,38.90307877,,,,,,BCC+Laves,POWDER,other,9.9,C,25,1920,,5,
Co0.25 Cr0.25 Fe1 Mn1,10.63655446,9.384526253,40.31686042,,39.66205887,,,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,7.7,T,25,213,471,55.7,212
Co0.25 Cr0.25 Fe1 Mn1,10.63655446,9.384526253,40.31686042,,39.66205887,,,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,7.7,T,25,393,634,26.5,212
Co0.25 Cr0.25 Fe1 Mn1,10.63655446,9.384526253,40.31686042,,39.66205887,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.7,T,25,792,1055,22.6,212
Co0.25 Cr0.25 Fe1 Mn1,10.63655446,9.384526253,40.31686042,,39.66205887,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.7,T,25,559,1004,33.9,212
Co0.25 Cr0.25 Fe1 Mn1,10.63655446,9.384526253,40.31686042,,39.66205887,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.7,T,25,512,978,55.3,212
Co0.25 Cr0.25 Fe1 Mn1,10.63655446,9.384526253,40.31686042,,39.66205887,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.7,T,25,476,947,69.4,212
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,353,635,,220
C0.041 Co1 Cr1 Fe1 Mn1 Nb0.041 Ni1,20.69955548,18.26301201,19.6149301,20.61525817,19.29635652,1.337919823,,,0.172967892,,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8,T,25,732,911,,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,27.65372274,14.2477423,4.01563272,,,,,,,,,,26.92983135,27.15307088,,,,,,,,BCC+HCP,WROUGHT,other,7.3,C,25,1500,,6,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,27.65372274,14.2477423,4.01563272,,,,,,,,,,26.92983135,27.15307088,,,,,,,,BCC+HCP,WROUGHT,other,7.3,C,25,1200,,8,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,27.65372274,14.2477423,4.01563272,,,,,,,,,,26.92983135,27.15307088,,,,,,,,BCC+HCP,WROUGHT,other,7.3,C,25,2100,,12,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,27.65372274,14.2477423,4.01563272,,,,,,,,,,26.92983135,27.15307088,,,,,,,,BCC+HCP,WROUGHT,other,7.3,C,25,1740,,20,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,27.65372274,14.2477423,4.01563272,,,,,,,,,,26.92983135,27.15307088,,,,,,,,BCC+HCP,WROUGHT,other,7.3,C,25,1630,,12,
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,POWDER,BCC,13.7,C,25,1217,,7.5,250
Mo1 Nb1 Si0.25 Ta1 W1,,,,,,16.57067207,,,,17.11359853,1.252306969,,,,,,,32.27380331,,,32.78961912,,,,,,BCC+Sec.,POWDER,other,12.9,C,25,1826,,16.5,
Mo1 Nb1 Si0.5 Ta1 W1,,,,,,16.36572298,,,,16.90193443,2.473636417,,,,,,,31.87463503,,,32.38407114,,,,,,BCC+Sec.,POWDER,other,12.2,C,25,1883,,11,
Mo1 Nb1 Si0.75 Ta1 W1,,,,,,16.16578165,,,,16.69544216,3.665123709,,,,,,,31.4852201,,,31.98843238,,,,,,BCC+Sec.,POWDER,other,11.6,C,25,2483,,6.2,
Mo1 Nb1 Si0.75 Ta1 W1,,,,,,16.16578165,,,,16.69544216,3.665123709,,,,,,,31.4852201,,,31.98843238,,,,,,BCC+Sec.,POWDER,other,11.6,C,1200,960,,22.7,
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1199.26,1335.35,4.37,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1269.23,1366.3,1.16,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1371.21,1402.83,1.58,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1362.74,1471.05,3.15,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,1241.81,1325.25,4.31,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,930.3,1021.32,19.01,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,729.21,901.74,26.3,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,494.82,735.6,38.7,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,366.88,673.25,42.55,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,290.65,618.51,43.15,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,258.76,598.75,45.05,220
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,,11.50605149,36.02853088,21.62144298,28.35470219,,,2.489272456,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,7.5,T,25,280,556,48,204
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,,11.81066394,36.98235408,22.19385139,23.90278316,,,5.110347444,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.2,T,25,320,625,42.2,195
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,,11.50605149,36.02853088,21.62144298,28.35470219,,,2.489272456,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,7.5,T,25,1253,1392,6.78,204
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,,11.81066394,36.98235408,22.19385139,23.90278316,,,5.110347444,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.2,T,25,1400,1500,5.83,195
Co1 Cr1 Fe1 Mo0.15 Ni1,24.56980024,21.67769048,23.28237989,24.46974166,,,,,,6.000387727,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8.3,T,25,489,895,,231
Co1 Cr1 Fe1 Mo0.15 Ni1,24.56980024,21.67769048,23.28237989,24.46974166,,,,,,6.000387727,,,,,,,,,,,,,,,,,,WROUGHT,other,8.3,T,25,873,,,
Co1 Cr1 Fe1 Mo0.15 Ni1,24.56980024,21.67769048,23.28237989,24.46974166,,,,,,6.000387727,,,,,,,,,,,,,,,,,,WROUGHT,other,8.3,T,25,952,1122,,
Co1 Cr1 Fe1 Mo0.15 Ni1,24.56980024,21.67769048,23.28237989,24.46974166,,,,,,6.000387727,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.3,T,25,1136,1245,,231
Co1 Cr1 Fe1 Mo0.15 Ni1,24.56980024,21.67769048,23.28237989,24.46974166,,,,,,6.000387727,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.3,T,25,1301,1493,,231
Co1 Cr1 Fe1 Mo0.15 Ni1,24.56980024,21.67769048,23.28237989,24.46974166,,,,,,6.000387727,,,,,,,,,,,,,,,,,,WROUGHT,other,8.3,T,25,1311,1421,,
Co1 Cr1 Fe1 Mo0.15 Ni1,24.56980024,21.67769048,23.28237989,24.46974166,,,,,,6.000387727,,,,,,,,,,,,,,,,,,WROUGHT,other,8.3,T,25,1273,1458,,
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,5.095442174,14.42491695,,36.50857113,,,,,,,4.839079141,39.1319906,,,,,,,,,,,,,,,,WROUGHT,other,7.6,T,25,777,810,3.4,
Al1 Co1 Cu1 Fe1 Ni0.5,25.11501049,,23.79902196,12.5063658,,,,11.49870553,,,,27.08089622,,,,,,,,,,,,,,,FCC+BCC+B2,CAST,other,6.9,C,25,929,,13.7,
Al1 Co1 Cu1 Fe1 Ni0.8,23.36197041,,22.13783852,18.6134645,,,,10.69609023,,,,25.19063634,,,,,,,,,,,,,,,FCC+BCC+B2,CAST,other,7,C,25,1021,,12.3,
Al1 Co1 Cu1 Fe1 Ni1,22.32319062,,21.15348922,22.23228118,,,,10.22049326,,,,24.07054572,,,,,,,,,,,,,,,FCC+BCC+B2,CAST,other,7,C,25,994,,24.5,
Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,20.09297585,,19.04013432,30.00172231,,,,9.199407365,,,,21.66576015,,,,,,,,,,,,,,,FCC+BCC+B2,CAST,other,7.2,C,25,680,,35.9,
Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,18.26292564,,17.30597598,36.37710262,,,,8.361533599,,,,19.69246216,,,,,,,,,,,,,,,FCC+BCC+B2,CAST,other,7.3,C,25,544,,,
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,15.44522647,,14.63591998,46.19317418,,,,7.0714727,,,,16.65420666,,,,,,,,,,,,,,,FCC,CAST,FCC,7.5,C,25,268,,,167
Al0.5 Cr1 Fe1 Mn1 Ni1,,22.12944166,23.76757192,24.97967765,23.38155369,,,5.741755085,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,7.1,C,25,1091,,50,
Al0.6 Cr1 Fe1 Mn1 Ni1,,21.87820309,23.49773543,24.69607997,23.11609973,,,6.811881788,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.9,C,25,1130,,53,
Al0.7 Cr1 Fe1 Mn1 Ni1,,21.63260517,23.23395715,24.41884944,22.85660557,,,7.857982671,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.8,C,25,1170,,55,
Al0.8 Cr1 Fe1 Mn1 Ni1,,21.39246006,22.97603531,24.14777403,22.60287273,,,8.880857871,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.7,C,25,1200,,55,
Co1 Cr0.2 Fe1 Ni1 Si0.2,31.10130922,5.488075184,29.47164769,30.97465159,,,,,,,2.964316323,,,,,,,,,,,,,,,,FCC,CAST,FCC,7.8,T,25,225,732,61,195
Co1 Cr0.2 Fe1 Ni1 Si0.2,31.10130922,5.488075184,29.47164769,30.97465159,,,,,,,2.964316323,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.8,T,25,705,1070,10,195
Co1 Cr0.2 Fe1 Ni1 Si0.2,31.10130922,5.488075184,29.47164769,30.97465159,,,,,,,2.964316323,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.8,T,25,320,920,60,195
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,,,9.015377948,,,,,56.5695932,,,13.60176684,10.25859445,,,,0,10.55466757,,,,,,,,,,FCC,CAST,FCC,3.2,C,25,422,,1,73
